Assembly,LineCoverage,CoveredLines,UncoveredLines,CoverableLines,TotalLines
"e.l.f. Beauty",53.7%,621,534,1155,2108

Component,LineCoverage
BreweryFilter,0.0%
BreweryProfile,100.0%
BreweryResponse,100.0%
BrewerySorterFactory,0.0%
BulkInsertFailure,0.0%
BulkInsertResult,100.0%
CachedBreweryRepository,0.0%
CitySorter,0.0%
DefaultSorter,0.0%
DistanceSorter,96.0%
AuthController,89.2%
ConfigureSwaggerOptions,100.0%
BreweriesController,65.7%
BreweriesControllerV2,100.0%
TestController,100.0%
JwtKeyValidator,85.7%
JwtOptionsAuth,100.0%
Migrations.BreweryDbContextModelSnapshot,0.0%
Migrations.InitialCreate,0.0%
Models.Brewery,100.0%
Models.BreweryQueryOptions,100.0%
Models.LoginModel,100.0%
Models.PagedResult`1,72.7%
Repository.BreweryDbContext,100.0%
Repository.BreweryRepository,38.6%
Repository.UpstreamBreweryClient,84.3%
Security.JwtKeyHelper,75.0%
Services.BreweryService,41.5%
Services.PagingHelper,54.5%
TokenValidator,12.1%
GlobalExceptionMiddleware,22.3%
Logging.EventIds,100.0%
Validation.NotFoundException,0.0%
Validation.UpstreamApiException,0.0%
Validation.ValidationException,0.0%
EfCoreBreweryRepository,51.6%
ExternalBrewery,100.0%
MemoryBreweryCache,100.0%
MemoryCacheExtensions,0.0%
NameSorter,0.0%
Program,83.5%
