Summary
Generated on:;9/20/2026 - 11:25:24 AM
Parser:;MultiReport (2x Cobertura)
Assemblies:;1
Classes:;41
Files:;37
Line coverage:;56.9%
Covered lines:;658
Uncovered lines:;497
Coverable lines:;1155
Total lines:;2108

e.l.f. Beauty;56.9%

BreweryFilter;0.0%
BreweryProfile;100.0%
BreweryResponse;100.0%
BrewerySorterFactory;0.0%
BulkInsertFailure;0.0%
BulkInsertResult;100.0%
CachedBreweryRepository;0.0%
CitySorter;0.0%
DefaultSorter;0.0%
DistanceSorter;96.0%
e.l.f._Beauty.AuthController;89.2%
e.l.f._Beauty.ConfigureSwaggerOptions.ConfigureSwaggerOptions;100.0%
e.l.f._Beauty.Controllers.BreweriesController;65.7%
e.l.f._Beauty.Controllers.BreweriesControllerV2;100.0%
e.l.f._Beauty.Controllers.TestController;100.0%
e.l.f._Beauty.JwtKeyValidator;85.7%
e.l.f._Beauty.JwtOptions.JwtOptionsAuth;100.0%
e.l.f._Beauty.Migrations.BreweryDbContextModelSnapshot;0.0%
e.l.f._Beauty.Migrations.InitialCreate;0.0%
e.l.f._Beauty.Models.Brewery;100.0%
e.l.f._Beauty.Models.BreweryQueryOptions;100.0%
e.l.f._Beauty.Models.LoginModel;100.0%
e.l.f._Beauty.Models.PagedResult`1;72.7%
e.l.f._Beauty.Repository.BreweryDbContext;100.0%
e.l.f._Beauty.Repository.BreweryRepository;38.6%
e.l.f._Beauty.Repository.UpstreamBreweryClient;84.3%
e.l.f._Beauty.Security.JwtKeyHelper;90.0%
e.l.f._Beauty.Services.BreweryService;41.5%
e.l.f._Beauty.Services.PagingHelper;54.5%
e.l.f._Beauty.TokenValidator;63.6%
e.l.f.GlobalException.GlobalExceptionMiddleware;22.3%
e.l.f.Logging.EventIds;100.0%
e.l.f.Validation.NotFoundException;0.0%
e.l.f.Validation.UpstreamApiException;0.0%
e.l.f.Validation.ValidationException;0.0%
ElfBreweryApi.Repositories.EfCoreBreweryRepository;51.6%
ExternalBrewery;100.0%
MemoryBreweryCache;100.0%
MemoryCacheExtensions;0.0%
NameSorter;0.0%
Program;83.5%
